작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,세부내용
2024-08-07,삼성전자,005930,추세 하락 이전에 주가 반등 가능할 듯,"87,000",Buy,송명섭,하이투자증권,삼성전자(005930) 추세 하락 이전에 주가 반등 가능할 듯추세 하락 이전에 주가 반등 가능할 듯
2024-08-01,삼성전자,005930,여전히 강력한 AI발 수요 조정기를 거치며 더욱 편해진 주가,"115,000",Buy,"김광진,최영주 ",한화투자증권,삼성전자(005930) 여전히 강력한 AI발 수요. 조정기를 거치며 더욱 편해진 주가여전히 강력한 AI발 수요. 조정기를 거치며 더욱 편해진 주가
2024-08-01,삼성전자,005930,메모리반도체 수익성 개선 본격화,"110,000",Buy,백길현,유안타증권,삼성전자(005930) 메모리반도체 수익성 개선 본격화메모리반도체 수익성 개선 본격화
2024-08-01,삼성전자,005930,HBM 경쟁 심화 예상,"97,000",Buy,"송명섭,손우성",하이투자증권,삼성전자(005930) HBM 경쟁 심화 예상HBM 경쟁 심화 예상
2024-08-01,삼성전자,005930,TSMC와의 시가총액 격차를 좁혀나 갈 시간,"110,000",Buy,이승우,유진투자증권,삼성전자(005930) TSMC와의 시가총액 격차를 좁혀나 갈 시간TSMC와의 시가총액 격차를 좁혀나 갈 시간
2024-08-01,삼성전자,005930,높아지는 HBM3E 공급 가능성,"110,000",Buy,"신석환,박강호",대신증권,삼성전자(005930) 높아지는 HBM3E 공급 가능성높아지는 HBM3E 공급 가능성
2024-07-12,하이록코리아,013030,2Q24 Preview 삼성전자향 수주 양호,"38,000",Buy,배기연,메리츠증권,하이록코리아(013030) 2Q24 Preview 삼성전자향 수주 양호양호한 실적을 유지 중 삼성전자향 수주 확대를 기대
2024-07-05,삼성전자,005930,2Q24P 레거시의 저력을 보여준 서프라이즈,0,N/A,김선우,메리츠증권,삼성전자(005930) 2Q24P- 레거시의 저력을 보여준 서프라이즈2Q24P- 레거시의 저력을 보여준 서프라이즈
2024-07-02,삼성전자,005930,메모리 실적 개선 가속화,"110,000",Buy,"신석환,박강호",대신증권,삼성전자(005930)  메모리 실적 개선 가속화메모리 실적 개선 가속화
2024-07-02,삼성전자,005930,2Q24 영업이익 8 9조원 전망,"95,500",Buy,송명섭,하이투자증권,삼성전자(005930) 2Q24 영업이익 8.9조원 전망2Q24 영업이익 8.9조원 전망
2024-06-24,삼성전자,005930,하반기 HBM에서의 성과만 확인된다면,"115,000",Buy,김광진,한화투자증권,삼성전자(005930) 하반기 HBM에서의 성과만 확인된다면2Q24 Preview : 영업이익 8조원 전망
2024-06-12,삼성전자,005930,Gradual Recovery Ahead,"100,000",Buy,김선우,메리츠증권,"삼성전자(005930) Gradual Recovery Ahead메모리업사이클속 절치부심이후반등전략에주목 2Q24 영업이익7.6조원예상, 이후2025년대폭실적개선. Buy 투자의견,적정주가10만원"
2024-05-20,삼성전자,005930,최대 고객향 HBM3E 출하 소식 필요,"91,000",Buy,송명섭,하이투자증권,삼성전자(005930) 최대 고객향 HBM3E 출하 소식 필요최대 고객향 HBM3E 출하 소식 필요
2024-05-02,삼성전자,005930,초격차에서 추격자로,"107,000",Buy,이승우,유진투자증권,삼성전자(005930) 초격차에서 추격자로…초격차에서 추격자로…
2024-05-02,삼성전자,005930,반도체 중심의 실적 개선세 지속될 것,"100,000",Buy,백길현,유안타증권,삼성전자(005930) 반도체 중심의 실적 개선세 지속될 것1Q24 Review: NAND 흑자전환
2024-05-02,삼성전자,005930,수익성 추구 전략 지속,"100,000",매수,한동희,SK증권,삼성전자(005930) 수익성 추구 전략 지속수익성 추구 전략 지속
2024-05-02,삼성전자,005930,AI향 메모리 경쟁력 점진적 강화 전망,"115,000",Buy,김광진,한화투자증권,삼성전자(005930) AI향 메모리 경쟁력 점진적 강화 전망1Q24 Review : 낸드에도 AI 시장 성장 수혜 반영되기 시작
2024-05-02,삼성전자,005930,2Q24 영업이익 9 8조원 전망,"95,000",Buy,송명섭,하이투자증권,삼성전자(005930) 2Q24 영업이익 9.8조원 전망2Q24 영업이익 9.8조원 전망
2024-05-02,삼성전자,005930,HBM 추격 전략 입증은 차별화 요인,"100,000",Buy,김선우,메리츠증권,삼성전자(005930) HBM 추격 전략 입증은 차별화 요인메모리 업사이클 속 1Q24 실적 회복 가속화. 순현금 역시 소폭 증가
2024-04-08,삼성전자,005930,2Q24 영업이익 8 1조원 전망,"99,000",Buy,송명섭,하이투자증권,삼성전자(005930) 2Q24 영업이익 8.1조원 전망2Q24 영업이익 8.1조원 전망
2024-04-08,삼성전자,005930,메모리 본격 이익 회복 구간 진입,"100,000",Buy,"신석환,박강호",대신증권,삼성전자(005930) 메모리 본격 이익 회복 구간 진입메모리 본격 이익 회복 구간 진입
2024-04-08,삼성전자,005930,1Q24 잠정실적 리뷰 낸드마저 좋아지는 구간,"115,000",Buy,"김광진,최영주",한화투자증권,삼성전자(005930) 1Q24 잠정실적 리뷰: 낸드마저 좋아지는 구간1Q24 잠정실적 리뷰: 낸드마저 좋아지는 구간
2024-04-08,삼성전자,005930,2Q24 반도체 부문 이익 기여도 확대 기대,"100,000",Buy,백길현,유안타증권,삼성전자(005930) 2Q24 반도체 부문 이익 기여도 확대 기대2Q24 반도체 부문 이익 기여도 확대 기대
2024-04-08,삼성전자,005930,실적은 굿 이제 필요한 것은 밸류에이션 갭 축소,"107,000",Buy,이승우,유진투자증권,"삼성전자(005930) 실적은 굿, 이제 필요한 것은 밸류에이션 갭 축소실적은 굿, 이제 필요한 것은 밸류에이션 갭 축소"
2024-04-04,삼성전자,005930,HBM 경쟁력 회복 가능성이 높아지고 있음,"99,000",Buy,정원섭,하이투자증권,삼성전자(005930) HBM 경쟁력 회복 가능성이 높아지고 있음HBM 경쟁력 회복 가능성이 높아지고 있음
2024-04-02,삼성전자,005930,메모리 반도체 성장 사이클이 다가온다,"100,000",Buy,"신석환,박강호",대신증권,삼성전자(005930) 메모리 반도체 성장 사이클이 다가온다메모리 반도체 성장 사이클이 다가온다
2024-04-01,삼성전자,005930,HBM 시장 침투 당위성 점증,"100,000",매수,한동희,SK증권,삼성전자(005930) HBM 시장 침투 당위성 점증HBM 시장 침투 당위성 점증
2024-04-01,삼성전자,005930,긴 겨울잠에서 깨어나기 시작한 거인,"107,000",Buy,이승우,유진투자증권,삼성전자(005930) 긴 겨울잠에서 깨어나기 시작한 거인긴 겨울잠에서 깨어나기 시작한 거인
2024-03-27,삼성전자,005930,메모리 중심 실적 개선 가속화,"94,000",Buy,김광진,한화투자증권,삼성전자(005930) 메모리 중심 실적 개선 가속화1Q24 Preview : 컨센서스 상회 전망
2024-03-14,삼성전자,005930,1Q24 메모리 흑자전환 예상,"100,000",매수,한동희,SK증권,삼성전자(005930) 1Q24 메모리 흑자전환 예상1Q24 메모리 흑자전환 예상
2024-03-14,삼성전자,005930,온기 확산 언더퍼폼의 중단,"100,000",Buy,김선우,메리츠증권,"삼성전자(005930) 온기 확산, 언더퍼폼의 중단‘내용’보다 ‘결과’가 중요한 실적 추정치 상향 조정"
2024-02-26,삼성전자,005930,목표주가 하향 시장은 Cyclical Memory 반도체 주식으로 인식 중인 듯,"84,000",Buy,송명섭,하이투자증권,삼성전자(005930) 목표주가 하향. 시장은 Cyclical Memory 반도체 주식으로 인식 중인 듯목표주가 하향. 시장은 Cyclical Memory 반도체 주식으로 인식 중인 듯
2024-02-05,삼성전자,005930,NDR Review 메모리 중심의 수익성 회복 지속,"95,000",Buy,백길현,유안타증권,"삼성전자(005930) NDR Review, 메모리 중심의 수익성 회복 지속NDR Review, 메모리 중심의 수익성 회복 지속"
2024-02-05,삼성전자,005930,당분간 보수적 접근 권고,"87,000",Buy,송명섭,하이투자증권,삼성전자(005930) 당분간 보수적 접근 권고당분간 보수적 접근 권고
2024-02-01,삼성전자,005930,당분간 보수적 관점 권고,"87,000",Buy,송명섭,하이투자증권,삼성전자(005930) 당분간 보수적 관점 권고당분간 보수적 관점 권고
2024-01-10,삼성전자,005930,4Q23 실적 예상치 하회,"87,000",Buy,송명섭,하이투자증권,삼성전자(005930) 4Q23 실적 예상치 하회4Q23 실적 예상치 하회
2024-01-10,삼성전자,005930,4Q23P 출하증가 불구 발목 잡힌 반도체 수익성,0,N/A,김선우,메리츠증권,삼성전자(005930) 4Q23P – 출하증가 불구 발목 잡힌 반도체 수익성4Q23 잠정 실적 – SDC 선방 불구 반도체 침체 지속
2024-01-05,삼성전자,005930,출하와 가격의 절충,"100,000",매수,한동희,SK증권,삼성전자(005930) 출하와 가격의 절충출하와 가격의 절충
2024-01-02,삼성전자,005930,불리한 카운트에서의 전력투구,"95,000",Buy,김선우,메리츠증권,삼성전자(005930) 불리한 카운트에서의 전력투구4Q23 영업이익 4.4조원 전망. 메모리 최대 출하 속 실리주의 전략 추구
2023-11-27,삼성전자,005930,당분간 주가 상승은 기대하기 어려우나 상대적 안정성은 높을 듯,"83,000",Buy,송명섭,하이투자증권,삼성전자(005930) 당분간 주가 상승은 기대하기 어려우나 상대적 안정성은 높을 듯당분간 주가 상승은 기대하기 어려우나 상대적 안정성은 높을 듯
2023-11-10,삼성전자,005930,기나긴반도체적자터널조만간종료 실적최우선경영전략으로전환예상,"94,000",Buy,김선우,메리츠증권,삼성전자(005930) 기나긴반도체적자터널조만간종료. 실적최우선경영전략으로전환예상기나긴반도체적자터널조만간종료. 실적최우선경영전략으로전환예상
2023-11-08,삼성전자,005930,현금 중심 실리주의 경영 예상,"94,000",Buy,김선우,메리츠증권,삼성전자(005930) 현금 중심 실리주의 경영 예상현금 중심 실리주의 경영 예상
2023-11-06,삼성전자,005930,3Q23 NDR 후기,"100,000",매수,한동희,SK증권,삼성전자(005930) 3Q23 NDR 후기3Q23 NDR 후기
2023-11-01,삼성전자,005930,메모리반도체 기여도 확대 전망,"90,000",Buy,백길현,유안타증권,삼성전자(005930) 메모리반도체 기여도 확대 전망3Q23 Review & 4Q23 Preview
2023-11-01,삼성전자,005930,목표주가 하향,"77,000",Buy,송명섭,하이투자증권,삼성전자(005930) 목표주가 하향목표주가 하향
2023-11-01,삼성전자,005930,3Q23 실적 리뷰,"94,000",Buy,김광진,한화투자증권,삼성전자(005930) 3Q23 실적 리뷰3Q23 Review : SDC와 MX의 실적 견인
2023-11-01,삼성전자,005930,순현금 83 조원의 의미,"94,000",Buy,김선우,메리츠증권,삼성전자(005930) 순현금 83 조원의 의미순현금 83 조원의 의미
2023-10-12,삼성전자,005930,마침내 골짜기를 지났다,"90,000",Buy,이승우,유진투자증권,삼성전자(005930) 마침내 골짜기를 지났다마침내 골짜기를 지났다
2023-10-12,삼성전자,005930,3Q23 잠정실적 리뷰,"94,000",Buy,김광진,한화투자증권,"삼성전자(005930) 3Q23 잠정실적 리뷰3Q23 잠정실적 리뷰 : DS의 제한적인 실적 개선 속 SDC, MX 선방"
2023-10-12,삼성전자,005930,3Q23P 잠정실적 SDC 와 스마트폰 호조,0,N/A,김선우,메리츠증권,"삼성전자(005930) 3Q23P 잠정실적 – SDC 와 스마트폰 호조3Q23 잠정 실적 – SDC, 스마트폰 실적 호조 불구 반도체 침체 지속"
2023-09-06,삼성전자,005930,메모리 반도체 Upturn 시작,"90,000",Buy,박강호,대신증권,"삼성전자(005930) 메모리 반도체 Upturn 시작◼ 2023년 연간 영업이익 추정치 7조원에서 8.4조원으로 상향조정 ◼ 엔비디아향 HBM3 인증 완료로 관련 회의론 불식 ◼ 9월 DRAM 계약가 반등, 3Q23 삼성전자 DRAM ASP 상승전환 기대"
2023-07-28,삼성전자,005930,2Q23 실적 리뷰,"94,000",Buy,김광진,한화투자증권,삼성전자(005930) 2Q23 실적 리뷰2Q23 Review : 바닥 확인 3Q부터 DS부문 실적 개선 가속화. AI 시장 내 경쟁력 주목
2023-07-28,삼성전자,005930,이성적 실리주의로의 전환 가속,"94,000",Buy,김선우,메리츠증권,삼성전자(005930) 이성적 실리주의로의 전환 가속2Q23 영업이익 0.7조원. 이젠 얻을 것보다 잃을게 두려운 순간
2023-07-10,삼성전자,005930,고부가 제품 비중 증가 전망,"90,000",Buy,백길현,유안타증권,삼성전자(005930) 고부가 제품 비중 증가 전망2Q23 잠정 실적 발표
2023-07-10,삼성전자,005930,2Q23P 아쉬운 실적 반작용의 촉매,0,N/A,김선우,메리츠증권,"삼성전자(005930) 2Q23P - 아쉬운 실적 = 반작용의 촉매반도체 실적 둔화 지속과 선방한 디스플레이, 스마트폰"
