date,KoBERT_Sentiment,KoFinBERT_Sentiment,ChatGPT_Sentiment
2017-09-06,-0.3,1.0,1.0
2017-09-08,-0.1,1.0,1.0
2017-09-11,-0.3,1.0,1.0
2017-09-12,-0.3,1.0,0.7
2017-09-13,-0.2,1.0,1.0
2017-09-18,-0.2,1.0,0.5
2017-09-19,-0.2,1.0,1.0
2017-09-20,-0.1,1.0,1.0
2017-09-25,-0.2,1.0,1.0
2017-09-26,0.0,0.9,1.0
2017-09-27,-0.1,1.0,1.0
2017-09-28,-0.2,1.0,1.0
2017-10-10,-0.1,1.0,0.2
2017-10-11,-0.2,1.0,0.8
2017-10-12,-0.3,1.0,1.0
2017-10-16,-0.1,1.0,0.8
2017-10-17,-0.2,1.0,0.5
2017-10-19,-0.1,1.0,1.0
2017-10-23,-0.1,1.0,0.5
2017-10-26,0.0,1.0,1.0
2017-10-30,0.0,1.0,1.0
2017-11-01,0.0,1.0,0.9
2017-11-02,-0.2,1.0,1.0
2017-11-07,-0.3,1.0,1.0
2017-11-13,0.1,0.8,0.5
2017-11-14,0.1,1.0,0.8
2017-11-15,0.0,1.0,1.0
2017-11-20,0.0,0.7,1.0
2017-11-22,-0.1,1.0,1.0
2017-11-28,0.0,0.8,0.2
2017-11-29,0.0,1.0,-0.7
2017-12-04,0.0,1.0,0.6
2017-12-06,0.0,1.0,1.0
2017-12-07,-0.3,1.0,1.0
2017-12-08,0.0,1.0,1.0
2017-12-11,0.0,1.0,0.5
2017-12-12,-0.2,1.0,1.0
2017-12-15,-0.2,1.0,1.0
2017-12-18,0.0,1.0,0.5
2017-12-20,-0.1,1.0,-0.7
2017-12-21,-0.3,1.0,0.5
2017-12-22,-0.2,1.0,1.0
2017-12-26,0.1,0.9,0.5
2018-01-03,-0.2,1.0,0.0
2018-01-08,0.1,1.0,1.0
2018-01-09,-0.2,1.0,1.0
2018-01-10,-0.2,1.0,0.2
2018-01-11,-0.2,1.0,1.0
2018-01-15,-0.2,0.7,0.5
2018-01-16,-0.2,1.0,1.0
2018-01-18,-0.2,1.0,1.0
2018-01-22,-0.2,1.0,1.0
2018-02-01,-0.1,1.0,0.4
2018-02-05,0.1,0.9,1.0
2018-02-06,0.1,1.0,1.0
2018-02-07,0.1,1.0,-1.0
2018-02-09,0.1,1.0,1.0
2018-02-20,0.1,1.0,-0.7
2018-02-23,0.0,1.0,1.0
2018-02-26,0.1,1.0,0.8
2018-02-27,0.1,1.0,1.0
2018-03-07,0.0,1.0,0.7
2018-03-12,0.0,1.0,0.4
2018-03-20,0.0,1.0,-0.5
2018-03-22,0.0,0.9,0.5
2018-03-28,-0.1,1.0,1.0
2018-03-29,-0.1,1.0,0.5
2018-03-30,0.0,0.9,0.8
2018-04-02,0.0,1.0,1.0
2018-04-03,0.2,1.0,1.0
2018-04-06,0.1,1.0,0.0
2018-04-09,0.0,1.0,0.9
2018-04-10,-0.1,1.0,1.0
2018-04-11,0.1,1.0,0.5
2018-04-12,-0.1,1.0,1.0
2018-04-27,0.0,1.0,0.8
2018-04-30,0.2,1.0,0.5
2018-05-03,-0.2,1.0,0.0
2018-05-04,-0.1,1.0,1.0
2018-05-09,0.1,1.0,0.0
2018-05-11,0.0,1.0,0.5
2018-05-14,0.0,1.0,1.0
2018-05-15,-0.2,1.0,0.0
2018-05-16,0.1,1.0,1.0
2018-05-23,0.1,1.0,1.0
2018-05-25,0.0,1.0,1.0
2018-05-28,-0.1,0.9,0.5
2018-05-29,0.0,1.0,1.0
2018-05-31,0.0,1.0,0.0
2018-06-01,0.0,1.0,0.6
2018-06-04,0.0,1.0,0.0
2018-06-05,0.0,1.0,0.2
2018-06-07,0.1,1.0,1.0
2018-06-11,0.1,0.9,-0.2
2018-06-12,0.1,1.0,-0.1
2018-06-14,0.1,0.9,0.5
2018-06-19,0.0,1.0,0.5
2018-06-20,0.2,1.0,0.2
2018-06-21,0.1,1.0,1.0
2018-06-25,0.1,1.0,0.0
2018-06-26,0.0,1.0,0.5
2018-06-28,0.0,1.0,0.7
2018-07-02,0.0,1.0,1.0
2018-07-06,0.1,1.0,0.0
2018-07-09,0.0,1.0,0.5
2018-07-12,0.1,1.0,0.5
2018-07-23,0.0,1.0,0.5
2018-07-24,0.1,1.0,1.0
2018-08-01,0.0,1.0,0.6
2018-08-06,0.0,1.0,1.0
2018-08-09,0.0,1.0,1.0
2018-08-14,0.1,1.0,1.0
2018-08-20,0.2,1.0,1.0
2018-08-24,0.1,1.0,0.5
2018-08-27,0.1,1.0,0.0
2018-08-30,0.1,1.0,0.5
2018-09-03,-0.1,1.0,1.0
2018-09-06,0.0,1.0,0.5
2018-09-10,-0.1,1.0,0.5
2018-09-17,0.1,0.5,1.0
2018-09-20,0.0,1.0,0.5
2018-09-21,0.1,1.0,1.0
2018-09-27,-0.4,1.0,1.0
2018-09-28,0.0,1.0,0.5
2018-10-01,0.1,1.0,0.8
2018-10-02,0.0,0.8,0.8
2018-10-05,0.1,1.0,1.0
2018-10-08,0.0,1.0,0.9
2018-10-10,0.1,1.0,1.0
2018-10-22,0.1,0.8,0.5
2018-11-01,0.0,1.0,0.1
2018-11-05,0.0,0.6,0.5
2018-11-08,0.1,1.0,1.0
2018-11-09,0.1,1.0,1.0
2018-11-12,0.0,1.0,0.0
2018-11-13,0.0,1.0,0.2
2018-11-14,0.0,1.0,0.0
2018-11-15,0.0,1.0,-0.1
2018-11-19,0.1,1.0,0.5
2018-11-22,0.0,1.0,1.0
2018-11-26,-0.1,1.0,0.0
2018-12-03,0.1,1.0,0.2
2018-12-04,0.1,1.0,0.5
2018-12-12,0.0,1.0,0.0
2018-12-14,0.0,1.0,-0.2
2018-12-17,0.1,1.0,0.2
2018-12-21,0.0,1.0,-0.1
2018-12-27,0.1,1.0,0.0
2019-01-03,-0.1,1.0,-0.7
2019-01-07,0.2,1.0,0.5
2019-01-08,0.1,1.0,-0.7
2019-01-09,0.0,0.9,-0.5
2019-01-14,0.0,1.0,-0.2
2019-01-15,-0.3,0.7,1.0
2019-01-16,-0.1,1.0,0.5
2019-01-17,0.1,0.8,-0.5
2019-01-22,0.1,1.0,1.0
2019-01-30,0.0,1.0,1.0
2019-02-01,0.0,1.0,0.2
2019-02-07,0.0,1.0,1.0
2019-02-11,0.0,0.9,1.0
2019-02-19,0.0,1.0,0.7
2019-02-21,0.1,1.0,1.0
2019-02-27,0.1,1.0,1.0
2019-03-05,-0.1,1.0,0.5
2019-03-11,-0.1,1.0,0.5
2019-03-13,-0.1,1.0,0.0
2019-03-14,-0.3,1.0,0.5
2019-03-15,0.0,1.0,0.5
2019-03-18,-0.3,1.0,0.8
2019-03-19,0.0,1.0,-0.1
2019-03-21,-0.2,1.0,1.0
